"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload"
"2026-04-08","15:17:19","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","6.25","3","0","seq 1"
"2026-04-08","15:17:19","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","5.75","3","0","seq 2"
"2026-04-08","15:17:19","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","5.5","3","3","<NODEINFO_APP>"
"2026-04-08","15:17:19","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","7.5","3","0","seq 3"
"2026-04-08","15:17:29","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","5.75","3","0","seq 4"
"2026-04-08","15:17:44","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","6.75","3","0","seq 5"
"2026-04-08","15:18:00","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","6.25","3","0","seq 6"
"2026-04-08","15:18:15","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","6.25","3","0","seq 7"
"2026-04-08","15:18:30","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","7.5","3","0","seq 8"
"2026-04-08","15:18:34","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","7.25","3","3","Bye"
"2026-04-08","15:18:37","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","6.75","3","0","<ROUTING_APP>"
"2026-04-08","15:18:46","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","6.75","3","0","seq 9"
"2026-04-08","15:19:01","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","5.75","3","0","seq 10"
"2026-04-08","15:19:15","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","5.75","3","0","seq 11"
"2026-04-08","15:19:30","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9042276","12.070882099999999","195","-14.5","3","0","seq 12"
"2026-04-08","15:19:45","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9033801","12.0714018","194","-5.5","103","0","seq 13"
"2026-04-08","15:20:01","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9033801","12.0714018","194","4.0","103","0","seq 14"
"2026-04-08","15:20:19","1363232625","Meshtastic 4771","50.9042488","12.070895","50.902611","12.069662099999999","195","-7.75","202","0","seq 15"
"2026-04-08","15:20:48","1363232625","Meshtastic 4771","50.9042488","12.070895","50.905113799999995","12.0685456","204","-7.0","191","0","seq 17"
"2026-04-08","15:22:17","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9102015","12.066143799999999","173","-19.25","741","0","seq 23"
